employee_id,department_id,name,age,gender,salary,hire_date
1,101,John Doe,30,Male,50000,01-01-2015
2,101,Jane Smith,25,Female,45000,15-02-2016
3,102,Bob Brown,35,Male,55000,01-05-2014
4,102,Alice Lee,28,Female,48000,30-09-2017
5,103,Jack Chan,40,Male,60000,01-04-2013
6,103,Jill Wong,32,Female,52000,01-07-2018
7,101,James Johnson,42,Male,Low,15-03-2012
8,102,Kate Kim,29,Female,51000,01-10-2019
9,103,Tom Tan,33,Male,58000,01-06-2016
10,104,Lisa Lee,27,Female,47000,01-08-2018
11,104,David Park,38,Male,65000,no date
12,105,Susan Chen,31,Female,54000,15-02-2017
13,106,Brian Kim,45,Male,75000,01-07-2011
14,107,Emily Lee,26,Female,46000,01-01-2019
15,106,Michael Lee,37,Male,63000,30-09-2014
16,107,Kelly Zhang,30,Female,49000,01-04-2018
17,105,George Wang,34,Male,57000,15-03-2016
18,104,Nancy Liu,29,Female,50000,01-06-2017
19,103,Steven Chen,36,Male,62000,01-08-2015
20,102,Grace Kim,32,Female,53000,01-11-2018
